T13,Gross domestic product and gross domestic product per capita,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",1995,GDP in current prices (millions of US dollars),"31,269,041",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",2005,GDP in current prices (millions of US dollars),"47,775,404",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",2010,GDP in current prices (millions of US dollars),"66,578,017",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",2015,GDP in current prices (millions of US dollars),"75,283,835",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",2019,GDP in current prices (millions of US dollars),"87,728,744",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",2020,GDP in current prices (millions of US dollars),"85,311,030",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",2021,GDP in current prices (millions of US dollars),"96,698,005",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",1995,GDP per capita (US dollars),"5,446",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",2005,GDP per capita (US dollars),"7,287",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",2010,GDP per capita (US dollars),"9,533",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",2015,GDP per capita (US dollars),"10,140",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",2019,GDP per capita (US dollars),"11,301",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",2020,GDP per capita (US dollars),"10,883",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",2021,GDP per capita (US dollars),"12,229",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",1995,GDP in constant 2015 prices (millions of US dollars),"40,355,817",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",2005,GDP in constant 2015 prices (millions of US dollars),"56,455,926",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",2010,GDP in constant 2015 prices (millions of US dollars),"64,907,975",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",2015,GDP in constant 2015 prices (millions of US dollars),"75,283,835",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",2019,GDP in constant 2015 prices (millions of US dollars),"84,504,873",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",2020,GDP in constant 2015 prices (millions of US dollars),"81,844,942",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",2021,GDP in constant 2015 prices (millions of US dollars),"86,675,773",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",1995,GDP real rates of growth (percent),3.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",2005,GDP real rates of growth (percent),4.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",2010,GDP real rates of growth (percent),4.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",2015,GDP real rates of growth (percent),3.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",2019,GDP real rates of growth (percent),2.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",2020,GDP real rates of growth (percent),-3.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
1,"Total, all countries or areas",2021,GDP real rates of growth (percent),5.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,1995,GDP in current prices (millions of US dollars),"604,467",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,2005,GDP in current prices (millions of US dollars),"1,170,541",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,2010,GDP in current prices (millions of US dollars),"2,032,590",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,2015,GDP in current prices (millions of US dollars),"2,407,357",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
2,Africa,2019,GDP in current prices (millions of US dollars),"2,571,104",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2023."
